Chencho Corleone;Anuel Aa;{'label': 'La Llevo Al Cielo (Ft. ï¿½ï¿½engo F'}
Chencho Corleone;Chris Jedi;{'label': 'La Llevo Al Cielo (Ft. ï¿½ï¿½engo F'}
Ayparia;unxbected;{'label': 'MONTAGEM - FR PUNK'}
J. Cole;Lil Durk;{'label': 'All My Life (feat. J. Cole)'}
J. Cole;j-hope;{'label': 'on the street (with J. Cole)'}
Lil Durk;Kanye West;{'label': 'Hot Shit (feat. Ye & Lil Durk)'}
Lil Durk;Cardi B;{'label': 'Hot Shit (feat. Ye & Lil Durk)'}
Future;Don Toliver;{'label': 'Private Landing (feat. Justin Bieber & Future)'}
Future;Lil Uzi Vert;{'label': 'All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)'}
Future;Chris Brown;{'label': 'Superhero (Heroes & Villains) [with Future & Chris Brown]'}
Future;Drake;{'label': 'Way 2 Sexy (with Future & Young Thug)'}
Future;Tems;{'label': 'WAIT FOR U (feat. Drake & Tems)'}
Future;Young Thug;{'label': 'Way 2 Sexy (with Future & Young Thug)'}
Don Toliver;WizKid;{'label': 'Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )'}
Don Toliver;Toian;{'label': 'Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )'}
Don Toliver;Beam;{'label': 'Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )'}
Eminem;Dina Rae;{'label': 'Superman'}
Eminem;Nate Dogg;{'label': "'Till I Collapse"}
Eminem;Dr. Dre;{'label': 'Gospel (with Eminem)'}
Eminem;Dido;{'label': 'Stan'}
Elton John;Pnau;{'label': 'Cold Heart - PNAU Remix'}
Elton John;Ed Sheeran;{'label': 'Merry Christmas'}
Elton John;Britney Spears;{'label': 'Hold Me Closer'}
Imagine Dragons;League of Legends;{'label': 'Enemy - from the series Arcane League of Legends'}
